DATE,PERIOD,VERSION,SUBSIDIARY,ACCOUNT_NUM,LOCATION,DEPARTMENT,COST_CENTER,AMOUNT,QUANTITY,MEMO,STATUS
,202401,Budget FY2024,PPACANADA,60000,,CorpOH,CorpOH,92417,,,
,202401,Budget FY2024,PPACANADA,60500,,CorpOH,CorpOH,4210,,,
,202401,Budget FY2024,PPACANADA,60600,,CorpOH,CorpOH,7080,,,
,202401,Budget FY2024,PPACANADA,68000,,CorpOH,CorpOH,42000,,,
,202401,Budget FY2024,PPACANADA,65000,,CorpOH,CorpOH,1500,,,
,202401,Budget FY2024,PPACANADA,68100,,CorpOH,CorpOH,6250,,,
,202401,Budget FY2024,PPACANADA,68150,,CorpOH,CorpOH,1730,,,
,202401,Budget FY2024,PPACANADA,68250,,CorpOH,CorpOH,160,,,
,202401,Budget FY2024,PPACANADA,68700,,CorpOH,CorpOH,11100,,,
,202401,Budget FY2024,PPACANADA,68400,,CorpOH,CorpOH,1950,,,
,202401,Budget FY2024,PPACANADA,64450,,CorpOH,CorpOH,630,,,
,202402,Budget FY2024,PPACANADA,60000,,CorpOH,CorpOH,92417,,,
,202402,Budget FY2024,PPACANADA,60500,,CorpOH,CorpOH,4210,,,
,202402,Budget FY2024,PPACANADA,60600,,CorpOH,CorpOH,7080,,,
,202402,Budget FY2024,PPACANADA,68000,,CorpOH,CorpOH,42000,,,
,202402,Budget FY2024,PPACANADA,65000,,CorpOH,CorpOH,,,,
,202402,Budget FY2024,PPACANADA,68100,,CorpOH,CorpOH,6250,,,
,202402,Budget FY2024,PPACANADA,68150,,CorpOH,CorpOH,1730,,,
,202402,Budget FY2024,PPACANADA,68250,,CorpOH,CorpOH,160,,,
,202402,Budget FY2024,PPACANADA,68700,,CorpOH,CorpOH,6100,,,
,202402,Budget FY2024,PPACANADA,68400,,CorpOH,CorpOH,1950,,,
,202402,Budget FY2024,PPACANADA,64450,,CorpOH,CorpOH,630,,,
,202403,Budget FY2024,PPACANADA,60000,,CorpOH,CorpOH,108250,,,
,202403,Budget FY2024,PPACANADA,60500,,CorpOH,CorpOH,4932,,,
,202403,Budget FY2024,PPACANADA,60600,,CorpOH,CorpOH,8293,,,
,202403,Budget FY2024,PPACANADA,68000,,CorpOH,CorpOH,42000,,,
,202403,Budget FY2024,PPACANADA,65000,,CorpOH,CorpOH,3500,,,
,202403,Budget FY2024,PPACANADA,68100,,CorpOH,CorpOH,6250,,,
,202403,Budget FY2024,PPACANADA,68150,,CorpOH,CorpOH,1730,,,
,202403,Budget FY2024,PPACANADA,68250,,CorpOH,CorpOH,160,,,
,202403,Budget FY2024,PPACANADA,68700,,CorpOH,CorpOH,76000,,,
,202403,Budget FY2024,PPACANADA,68400,,CorpOH,CorpOH,1950,,,
,202403,Budget FY2024,PPACANADA,64450,,CorpOH,CorpOH,840,,,
,202404,Budget FY2024,PPACANADA,60000,,CorpOH,CorpOH,108250,,,
,202404,Budget FY2024,PPACANADA,60500,,CorpOH,CorpOH,4932,,,
