PERIOD,DATE,VERSION,RATIO
202401,2023-04-01,Budget FY2024,0.033333333
202401,2023-04-02,Budget FY2024,0.033333333
202401,2023-04-03,Budget FY2024,0.033333333
202401,2023-04-04,Budget FY2024,0.033333333
202401,2023-04-05,Budget FY2024,0.033333333
202401,2023-04-06,Budget FY2024,0.033333333
202401,2023-04-07,Budget FY2024,0.033333333
202401,2023-04-08,Budget FY2024,0.033333333
202401,2023-04-09,Budget FY2024,0.033333333
202401,2023-04-10,Budget FY2024,0.033333333
202401,2023-04-11,Budget FY2024,0.033333333
202401,2023-04-12,Budget FY2024,0.033333333
202401,2023-04-13,Budget FY2024,0.033333333
202401,2023-04-14,Budget FY2024,0.033333333
202401,2023-04-15,Budget FY2024,0.033333333
202401,2023-04-16,Budget FY2024,0.033333333
202401,2023-04-17,Budget FY2024,0.033333333
202401,2023-04-18,Budget FY2024,0.033333333
202401,2023-04-19,Budget FY2024,0.033333333
202401,2023-04-20,Budget FY2024,0.033333333
202401,2023-04-21,Budget FY2024,0.033333333
202401,2023-04-22,Budget FY2024,0.033333333
202401,2023-04-23,Budget FY2024,0.033333333
202401,2023-04-24,Budget FY2024,0.033333333
202401,2023-04-25,Budget FY2024,0.033333333
202401,2023-04-26,Budget FY2024,0.033333333
202401,2023-04-27,Budget FY2024,0.033333333
202401,2023-04-28,Budget FY2024,0.033333333
202401,2023-04-29,Budget FY2024,0.033333333
202401,2023-04-30,Budget FY2024,0.033333333
202402,2023-05-01,Budget FY2024,0.032258065
202402,2023-05-02,Budget FY2024,0.032258065
202402,2023-05-03,Budget FY2024,0.032258065
202402,2023-05-04,Budget FY2024,0.032258065
202402,2023-05-05,Budget FY2024,0.032258065
202402,2023-05-06,Budget FY2024,0.032258065
202402,2023-05-07,Budget FY2024,0.032258065
202402,2023-05-08,Budget FY2024,0.032258065
202402,2023-05-09,Budget FY2024,0.032258065
202402,2023-05-10,Budget FY2024,0.032258065
202402,2023-05-11,Budget FY2024,0.032258065
202402,2023-05-12,Budget FY2024,0.032258065
202402,2023-05-13,Budget FY2024,0.032258065
202402,2023-05-14,Budget FY2024,0.032258065
202402,2023-05-15,Budget FY2024,0.032258065
202402,2023-05-16,Budget FY2024,0.032258065
202402,2023-05-17,Budget FY2024,0.032258065
202402,2023-05-18,Budget FY2024,0.032258065
202402,2023-05-19,Budget FY2024,0.032258065
202402,2023-05-20,Budget FY2024,0.032258065
202402,2023-05-21,Budget FY2024,0.032258065
202402,2023-05-22,Budget FY2024,0.032258065
202402,2023-05-23,Budget FY2024,0.032258065
202402,2023-05-24,Budget FY2024,0.032258065
202402,2023-05-25,Budget FY2024,0.032258065
202402,2023-05-26,Budget FY2024,0.032258065
202402,2023-05-27,Budget FY2024,0.032258065
202402,2023-05-28,Budget FY2024,0.032258065
202402,2023-05-29,Budget FY2024,0.032258065
202402,2023-05-30,Budget FY2024,0.032258065
202402,2023-05-31,Budget FY2024,0.032258065
202403,2023-06-01,Budget FY2024,0.033333333
202403,2023-06-02,Budget FY2024,0.033333333
202403,2023-06-03,Budget FY2024,0.033333333
202403,2023-06-04,Budget FY2024,0.033333333
202403,2023-06-05,Budget FY2024,0.033333333
202403,2023-06-06,Budget FY2024,0.033333333
202403,2023-06-07,Budget FY2024,0.033333333
202403,2023-06-08,Budget FY2024,0.033333333
202403,2023-06-09,Budget FY2024,0.033333333
202403,2023-06-10,Budget FY2024,0.033333333
202403,2023-06-11,Budget FY2024,0.033333333
202403,2023-06-12,Budget FY2024,0.033333333
202403,2023-06-13,Budget FY2024,0.033333333
202403,2023-06-14,Budget FY2024,0.033333333
202403,2023-06-15,Budget FY2024,0.033333333
202403,2023-06-16,Budget FY2024,0.033333333
202403,2023-06-17,Budget FY2024,0.033333333
202403,2023-06-18,Budget FY2024,0.033333333
202403,2023-06-19,Budget FY2024,0.033333333
202403,2023-06-20,Budget FY2024,0.033333333
202403,2023-06-21,Budget FY2024,0.033333333
202403,2023-06-22,Budget FY2024,0.033333333
202403,2023-06-23,Budget FY2024,0.033333333
202403,2023-06-24,Budget FY2024,0.033333333
202403,2023-06-25,Budget FY2024,0.033333333
202403,2023-06-26,Budget FY2024,0.033333333
202403,2023-06-27,Budget FY2024,0.033333333
202403,2023-06-28,Budget FY2024,0.033333333
202403,2023-06-29,Budget FY2024,0.033333333
202403,2023-06-30,Budget FY2024,0.033333333
202404,2023-07-01,Budget FY2024,0.032258065
202404,2023-07-02,Budget FY2024,0.032258065
202404,2023-07-03,Budget FY2024,0.032258065
202404,2023-07-04,Budget FY2024,0.032258065
202404,2023-07-05,Budget FY2024,0.032258065
202404,2023-07-06,Budget FY2024,0.032258065
202404,2023-07-07,Budget FY2024,0.032258065
202404,2023-07-08,Budget FY2024,0.032258065
202404,2023-07-09,Budget FY2024,0.032258065
202404,2023-07-10,Budget FY2024,0.032258065
202404,2023-07-11,Budget FY2024,0.032258065
202404,2023-07-12,Budget FY2024,0.032258065
202404,2023-07-13,Budget FY2024,0.032258065
202404,2023-07-14,Budget FY2024,0.032258065
202404,2023-07-15,Budget FY2024,0.032258065
202404,2023-07-16,Budget FY2024,0.032258065
202404,2023-07-17,Budget FY2024,0.032258065
202404,2023-07-18,Budget FY2024,0.032258065
202404,2023-07-19,Budget FY2024,0.032258065
202404,2023-07-20,Budget FY2024,0.032258065
202404,2023-07-21,Budget FY2024,0.032258065
202404,2023-07-22,Budget FY2024,0.032258065
202404,2023-07-23,Budget FY2024,0.032258065
202404,2023-07-24,Budget FY2024,0.032258065
202404,2023-07-25,Budget FY2024,0.032258065
202404,2023-07-26,Budget FY2024,0.032258065
202404,2023-07-27,Budget FY2024,0.032258065
202404,2023-07-28,Budget FY2024,0.032258065
202404,2023-07-29,Budget FY2024,0.032258065
202404,2023-07-30,Budget FY2024,0.032258065
202404,2023-07-31,Budget FY2024,0.032258065
202405,2023-08-01,Budget FY2024,0.032258065
202405,2023-08-02,Budget FY2024,0.032258065
202405,2023-08-03,Budget FY2024,0.032258065
202405,2023-08-04,Budget FY2024,0.032258065
202405,2023-08-05,Budget FY2024,0.032258065
202405,2023-08-06,Budget FY2024,0.032258065
202405,2023-08-07,Budget FY2024,0.032258065
202405,2023-08-08,Budget FY2024,0.032258065
202405,2023-08-09,Budget FY2024,0.032258065
202405,2023-08-10,Budget FY2024,0.032258065
202405,2023-08-11,Budget FY2024,0.032258065
202405,2023-08-12,Budget FY2024,0.032258065
202405,2023-08-13,Budget FY2024,0.032258065
202405,2023-08-14,Budget FY2024,0.032258065
202405,2023-08-15,Budget FY2024,0.032258065
202405,2023-08-16,Budget FY2024,0.032258065
202405,2023-08-17,Budget FY2024,0.032258065
202405,2023-08-18,Budget FY2024,0.032258065
202405,2023-08-19,Budget FY2024,0.032258065
202405,2023-08-20,Budget FY2024,0.032258065
202405,2023-08-21,Budget FY2024,0.032258065
